"","Fitted","Actual","Date"
"1",277.689422154114,277.813528671183,"1750-01-15"
"2",278.552507176327,278.196557958315,"1750-02-15"
"3",278.444161343037,278.538474786985,"1750-03-15"
"4",278.767734100718,278.779124206439,"1750-04-15"
"5",278.721775246746,278.723560314086,"1750-05-15"
"6",277.996136100261,277.992056888667,"1750-06-15"
"7",276.356278035121,276.35355959969,"1750-07-15"
"8",274.72976010584,274.752161975599,"1750-08-15"
"9",274.669013064988,274.713490580593,"1750-09-15"
"10",275.737512613236,275.751226961025,"1750-10-15"
"11",276.762088204684,276.756349251447,"1750-11-15"
"12",277.38897224943,277.393908805968,"1750-12-15"
"13",277.829000468173,277.854430376474,"1751-01-15"
"14",278.203264147897,278.237404997105,"1751-02-15"
"15",278.580682747901,278.579243356399,"1751-03-15"
"16",278.819977565362,278.819815566946,"1751-04-15"
"17",278.764239994385,278.7642007895,"1751-05-15"
"18",278.032751754722,278.032697866145,"1751-06-15"
"19",276.394306363547,276.394276957826,"1751-07-15"
"20",274.792821449416,274.793036045795,"1751-08-15"
"21",274.754182165426,274.754580923462,"1751-09-15"
"22",275.792536034404,275.792570725921,"1751-10-15"
"23",276.798153272273,276.797961176469,"1751-11-15"
"24",277.435878717161,277.435781217959,"1751-12-15"
"25",277.896486364077,277.89653319102,"1752-01-15"
"26",278.279644013657,278.279685718534,"1752-02-15"
"27",278.621830238025,278.621627077789,"1752-03-15"
"28",278.862283195078,278.862204970113,"1752-04-15"
"29",278.806554949521,278.806476145007,"1752-05-15"
"30",278.074834514196,278.074717033296,"1752-06-15"
"31",276.435984169989,276.435875676258,"1752-07-15"
"32",274.833935301884,274.834047621133,"1752-08-15"
"33",274.794557849393,274.794868697016,"1752-09-15"
"34",275.831998258193,275.832031160763,"1752-10-15"
"35",276.836667881899,276.836523857432,"1752-11-15"
"36",277.473471727244,277.47340885164,"1752-12-15"
"37",277.93317283502,277.933221605774,"1753-01-15"
"38",278.315404026917,278.315463864482,"1753-02-15"
"39",278.656549109075,278.656557026807,"1753-03-15"
"40",278.896356048802,278.896381915845,"1753-04-15"
"41",278.840019340535,278.840028402855,"1753-05-15"
"42",278.107832455574,278.107806040425,"1753-06-15"
"43",276.46870866331,276.468695862632,"1753-07-15"
"44",274.866633604711,274.866810881542,"1753-08-15"
"45",274.827460285729,274.827773646741,"1753-09-15"
"46",275.865233428078,275.865259464763,"1753-10-15"
"47",276.870393007001,276.870240230347,"1753-11-15"
"48",277.507843398779,277.507761057785,"1753-12-15"
"49",277.968325013306,277.968340459146,"1754-01-15"
"50",278.351440573415,278.351463228753,"1754-02-15"
"51",278.693530137707,278.693533815329,"1754-03-15"
"52",278.934424324106,278.934416091648,"1754-04-15"
"53",278.879218923254,278.879182978648,"1754-05-15"
"54",278.148205220275,278.148127078594,"1754-06-15"
"55",276.510283271999,276.510212488487,"1754-07-15"
"56",274.909414430486,274.909533438312,"1754-08-15"
"57",274.871424196865,274.87168483324,"1754-09-15"
"58",275.910337020394,275.910312147068,"1754-10-15"
"59",276.916562235286,276.916357441796,"1754-11-15"
"60",277.554974297465,277.554835998978,"1754-12-15"
"61",278.01628183459,278.016236497944,"1755-01-15"
"62",278.400054751688,278.40001390028,"1755-02-15"
"63",278.742597416534,278.74254282197,"1755-03-15"
"64",278.983732189992,278.98365730305,"1755-04-15"
"65",278.928507302052,278.928400431718,"1755-05-15"
"66",278.197187408165,278.197034977504,"1755-06-15"
"67",276.558643552649,276.558495208404,"1755-07-15"
"68",274.956804201561,274.956864406843,"1755-08-15"
"69",274.917509664718,274.917795948453,"1755-09-15"
"70",275.954962487712,275.955009954337,"1755-10-15"
"71",276.959633728313,276.959523133799,"1755-11-15"
"72",277.596453486394,277.596425415701,"1755-12-15"
"73",278.056200523368,278.05628012668,"1756-01-15"
"74",278.438517862851,278.438616875625,"1756-02-15"
"75",278.779783058032,278.77988492583,"1756-03-15"
"76",279.019897756348,279.019992964634,"1756-04-15"
"77",278.963980980242,278.964058727544,"1756-05-15"
"78",278.232372725584,278.232419631394,"1756-06-15"
"79",276.594018864386,276.594084591487,"1756-07-15"
"80",274.992936623351,274.993187869257,"1756-08-15"
"81",274.955006245067,274.955324988799,"1756-09-15"
"82",275.994135974149,275.994126422976,"1756-10-15"
"83",277.000722635554,277.000519221627,"1756-11-15"
"84",277.639648864685,277.639503654146,"1756-12-15"
"85",278.101612781875,278.101553387702,"1757-01-15"
"86",278.48616957547,278.48610837172,"1757-02-15"
"87",278.829607286919,278.829528210024,"1757-03-15"
"88",279.071739010698,279.071631930488,"1757-04-15"
"89",279.017593295279,279.01744760915,"1757-05-15"
"90",278.28742063203,278.287223003379,"1757-06-15"
"91",276.650077273659,276.64987736901,"1757-07-15"
"92",275.04947531859,275.049472594755,"1757-08-15"
"93",275.011403357179,275.011633157366,"1757-09-15"
"94",276.050051525909,276.050055833971,"1757-10-15"
"95",277.055886849661,277.0557340564,"1757-11-15"
"96",277.693806643853,277.693734476035,"1757-12-15"
"97",278.15456416623,278.154597142037,"1758-01-15"
"98",278.537778536349,278.53782838582,"1758-02-15"
"99",278.879803595871,278.879854193199,"1758-03-15"
"100",279.120518928979,279.120559974036,"1758-04-15"
"101",279.065019260865,279.065040186362,"1758-05-15"
"102",278.333621492385,278.333608969534,"1758-06-15"
"103",276.6952482656,276.695251961377,"1758-07-15"
"104",275.093888239278,275.094090575669,"1758-08-15"
"105",275.055424400026,275.055759063066,"1758-09-15"
"106",276.093901397979,276.093941873828,"1758-10-15"
"107",277.099757581626,277.099620004378,"1758-11-15"
"108",277.737915136099,277.737847670691,"1758-12-15"
"109",278.199123071718,278.199152486519,"1759-01-15"
"110",278.582989832544,278.583028347869,"1759-02-15"
"111",278.925857192776,278.925888805146,"1759-03-15"
"112",279.167592431085,279.167606832808,"1759-04-15"
"113",279.113277815731,279.113264453477,"1759-05-15"
"114",278.383217823049,278.3831633711,"1759-06-15"
"115",276.746322662382,276.746276788098,"1759-07-15"
"116",275.146565396846,275.14671260781,"1759-08-15"
"117",275.10979376058,275.110074716694,"1759-09-15"
"118",276.150022898593,276.150004280187,"1759-10-15"
"119",277.157641657028,277.157438702577,"1759-11-15"
"120",277.797527719576,277.797388607712,"1759-12-15"
"121",278.260386515294,278.260338017211,"1760-01-15"
"122",278.645782897229,278.645737234952,"1760-02-15"
"123",278.990015045191,278.989956219209,"1760-03-15"
"124",279.2329066562,279.232824352309,"1760-04-15"
"125",279.179496397884,279.179380064741,"1760-05-15"
"126",278.450045155997,278.449881468327,"1760-06-15"
"127",276.813419548184,276.813258173352,"1760-07-15"
"128",275.213547518099,275.213578235605,"1760-08-15"
"129",275.176227081119,275.176465135963,"1760-09-15"
"130",276.215607807564,276.215627829704,"1760-10-15"
"131",277.222206163804,277.22207294381,"1760-11-15"
"132",277.860930979903,277.860880324818,"1760-12-15"
"133",278.322547203714,278.322603217041,"1761-01-15"
"134",278.706686818296,278.706761147048,"1761-02-15"
"135",279.049716774344,279.049793295805,"1761-03-15"
"136",279.291529896535,279.291598268331,"1761-04-15"
"137",279.237234052352,279.237283717807,"1761-05-15"
"138",278.507159346065,278.507176978744,"1761-06-15"
"139",276.870241617106,276.870276884122,"1761-07-15"
"140",275.270480632077,275.270717777566,"1761-08-15"
