"","Fitted","Actual","Date"
"1",277.653133028372,277.813528671183,"1750-01-15"
"2",278.124530367816,278.196557958315,"1750-02-15"
"3",278.491032905302,278.538474786985,"1750-03-15"
"4",278.743551108792,278.779124206439,"1750-04-15"
"5",278.695233290261,278.723560314086,"1750-05-15"
"6",277.969160497448,277.992056888667,"1750-06-15"
"7",276.33547788212,276.35355959969,"1750-07-15"
"8",274.73785442855,274.752161975599,"1750-08-15"
"9",274.700814766535,274.713490580593,"1750-09-15"
"10",275.738835202743,275.751226961025,"1750-10-15"
"11",276.744126261549,276.756349251447,"1750-11-15"
"12",277.538045197965,277.393908805968,"1750-12-15"
"13",278.824237542658,277.854430376474,"1751-01-15"
"14",278.235091494303,278.237404997105,"1751-02-15"
"15",278.582095171473,278.579243356399,"1751-03-15"
"16",278.819936429522,278.819815566946,"1751-04-15"
"17",278.7668206964,278.7642007895,"1751-05-15"
"18",278.033846924537,278.032697866145,"1751-06-15"
"19",276.397123521295,276.394276957826,"1751-07-15"
"20",274.794931784922,274.793036045795,"1751-08-15"
"21",274.757804273519,274.754580923462,"1751-09-15"
"22",275.795156260846,275.792570725921,"1751-10-15"
"23",276.801662384285,276.797961176469,"1751-11-15"
"24",277.439197245144,277.435781217959,"1751-12-15"
"25",277.897474049832,277.89653319102,"1752-01-15"
"26",278.279351431843,278.279685718534,"1752-02-15"
"27",278.622715493838,278.621627077789,"1752-03-15"
"28",278.862460800935,278.862204970113,"1752-04-15"
"29",278.807845676778,278.806476145007,"1752-05-15"
"30",278.075509790858,278.074717033296,"1752-06-15"
"31",276.437595461088,276.435875676258,"1752-07-15"
"32",274.835350053812,274.834047621133,"1752-08-15"
"33",274.79694344551,274.794868697016,"1752-09-15"
"34",275.833779482517,275.832031160763,"1752-10-15"
"35",276.838925617888,276.836523857432,"1752-11-15"
"36",277.475622860761,277.47340885164,"1752-12-15"
"37",277.934146628256,277.933221605774,"1753-01-15"
"38",278.315782063257,278.315463864482,"1753-02-15"
"39",278.657587809238,278.656557026807,"1753-03-15"
"40",278.89691655458,278.896381915845,"1753-04-15"
"41",278.841132845896,278.840028402855,"1753-05-15"
"42",278.108486414912,278.107806040425,"1753-06-15"
"43",276.469832740624,276.468695862632,"1753-07-15"
"44",274.867580227679,274.866810881542,"1753-08-15"
"45",274.828933022425,274.827773646741,"1753-09-15"
"46",275.866114277381,275.865259464763,"1753-10-15"
"47",276.87143585094,276.870240230347,"1753-11-15"
"48",277.50875032134,277.507761057785,"1753-12-15"
"49",277.968499893587,277.968340459146,"1754-01-15"
"50",278.351201820373,278.351463228753,"1754-02-15"
"51",278.69367460675,278.693533815329,"1754-03-15"
"52",278.934203341087,278.934416091648,"1754-04-15"
"53",278.879312682769,278.879182978648,"1754-05-15"
"54",278.14795666192,278.148127078594,"1754-06-15"
"55",276.51033596893,276.510212488487,"1754-07-15"
"56",274.909407540607,274.909533438312,"1754-08-15"
"57",274.871841152203,274.87168483324,"1754-09-15"
"58",275.910288338386,275.910312147068,"1754-10-15"
"59",276.916615490215,276.916357441796,"1754-11-15"
"60",277.555007511199,277.554835998978,"1754-12-15"
"61",278.015956985557,278.016236497944,"1755-01-15"
"62",278.399548442573,278.40001390028,"1755-02-15"
"63",278.742455059081,278.74254282197,"1755-03-15"
"64",278.983453747242,278.98365730305,"1755-04-15"
"65",278.92856922707,278.928400431718,"1755-05-15"
"66",278.197151545352,278.197034977504,"1755-06-15"
"67",276.558984237751,276.558495208404,"1755-07-15"
"68",274.95734570248,274.956864406843,"1755-08-15"
"69",274.918584119783,274.917795948453,"1755-09-15"
"70",275.955758136286,275.955009954337,"1755-10-15"
"71",276.960502078216,276.959523133799,"1755-11-15"
"72",277.597348799603,277.596425415701,"1755-12-15"
"73",278.056871910365,278.05628012668,"1756-01-15"
"74",278.43901588029,278.438616875625,"1756-02-15"
"75",278.780421516886,278.77988492583,"1756-03-15"
"76",279.020304417552,279.019992964634,"1756-04-15"
"77",278.964428933973,278.964058727544,"1756-05-15"
"78",278.232528817469,278.232419631394,"1756-06-15"
"79",276.594176664737,276.594084591487,"1756-07-15"
"80",274.992994463373,274.993187869257,"1756-08-15"
"81",274.955128070527,274.955324988799,"1756-09-15"
"82",275.993716213691,275.994126422976,"1756-10-15"
"83",277.000145998829,277.000519221627,"1756-11-15"
"84",277.639000416377,277.639503654146,"1756-12-15"
"85",278.100804062455,278.101553387702,"1757-01-15"
"86",278.485231142823,278.48610837172,"1757-02-15"
"87",278.828808679013,278.829528210024,"1757-03-15"
"88",279.070856056558,279.071631930488,"1757-04-15"
"89",279.016868542661,279.01744760915,"1757-05-15"
"90",278.286656875142,278.287223003379,"1757-06-15"
"91",276.649549089088,276.64987736901,"1757-07-15"
"92",275.049216919971,275.049472594755,"1757-08-15"
"93",275.011596612382,275.011633157366,"1757-09-15"
"94",276.050071051788,276.050055833971,"1757-10-15"
"95",277.055927560112,277.0557340564,"1757-11-15"
"96",277.693966368769,277.693734476035,"1757-12-15"
"97",278.154749220882,278.154597142037,"1758-01-15"
"98",278.537952091896,278.53782838582,"1758-02-15"
"99",278.880100204541,278.879854193199,"1758-03-15"
"100",279.120756400842,279.120559974036,"1758-04-15"
"101",279.065317084511,279.065040186362,"1758-05-15"
"102",278.333813681629,278.333608969534,"1758-06-15"
"103",276.6954964937,276.695251961377,"1758-07-15"
"104",275.094240835147,275.094090575669,"1758-08-15"
"105",275.055925418574,275.055759063066,"1758-09-15"
"106",276.094013058878,276.093941873828,"1758-10-15"
"107",277.099692472776,277.099620004378,"1758-11-15"
"108",277.737829160412,277.737847670691,"1758-12-15"
"109",278.198975045383,278.199152486519,"1759-01-15"
"110",278.582728425653,278.583028347869,"1759-02-15"
"111",278.925577782104,278.925888805146,"1759-03-15"
"112",279.167172161505,279.167606832808,"1759-04-15"
"113",279.112803305492,279.113264453477,"1759-05-15"
"114",278.382576469126,278.3831633711,"1759-06-15"
"115",276.74564883487,276.746276788098,"1759-07-15"
"116",275.145958202062,275.14671260781,"1759-08-15"
"117",275.109294026816,275.110074716694,"1759-09-15"
"118",276.149141450137,276.150004280187,"1759-10-15"
"119",277.156584441357,277.157438702577,"1759-11-15"
"120",277.796500231218,277.797388607712,"1759-12-15"
"121",278.259395569465,278.260338017211,"1760-01-15"
"122",278.644784727614,278.645737234952,"1760-02-15"
"123",278.989093634257,278.989956219209,"1760-03-15"
"124",279.231996093964,279.232824352309,"1760-04-15"
"125",279.17867627824,279.179380064741,"1760-05-15"
"126",278.449255751471,278.449881468327,"1760-06-15"
"127",276.812792028817,276.813258173352,"1760-07-15"
"128",275.21323108825,275.213578235605,"1760-08-15"
"129",275.176268920673,275.176465135963,"1760-09-15"
"130",276.215510293463,276.215627829704,"1760-10-15"
"131",277.222058283966,277.22207294381,"1760-11-15"
"132",277.860904994664,277.860880324818,"1760-12-15"
"133",278.322617283355,278.322603217041,"1761-01-15"
"134",278.706759193757,278.706761147048,"1761-02-15"
"135",279.049805848049,279.049793295805,"1761-03-15"
"136",279.291553019716,279.291598268331,"1761-04-15"
"137",279.237204702485,279.237283717807,"1761-05-15"
"138",278.506997958862,278.507176978744,"1761-06-15"
"139",276.870016187326,276.870276884122,"1761-07-15"
"140",275.270315927291,275.270717777566,"1761-08-15"
"141",275.233631788969,275.234123763159,"1761-09-15"
"142",276.273545514158,276.274138830624,"1761-10-15"
"143",277.281056307446,277.281701721775,"1761-11-15"
"144",277.921121235981,277.92182439798,"1761-12-15"
"145",278.384231113833,278.384992218383,"1762-01-15"
"146",278.769870851325,278.770656824385,"1762-02-15"
"147",279.11443263936,279.115189511784,"1762-03-15"
"148",279.357681253754,279.358421000429,"1762-04-15"
"149",279.304718246964,279.305391058333,"1762-05-15"
"150",278.575745172837,278.57635913484,"1762-06-15"
"151",276.939747216541,276.940256177759,"1762-07-15"
"152",275.340740975008,275.341150120722,"1762-08-15"
"153",275.304357447881,275.30464933387,"1762-09-15"
"154",276.344231360582,276.344445245203,"1762-10-15"
"155",277.351403456009,277.35152808224,"1762-11-15"
"156",277.99089102684,277.990961292057,"1762-12-15"
"157",278.453243335534,278.453281719504,"1763-01-15"
"158",278.837977617326,278.837992491689,"1763-02-15"
"159",279.18153832892,279.181516390117,"1763-03-15"
"160",279.423756285549,279.423735620343,"1763-04-15"
"161",279.369770891069,279.369741436088,"1763-05-15"
"162",278.63984796089,278.639844772402,"1763-06-15"
"163",277.003012199004,277.003028062801,"1763-07-15"
"164",275.403343070871,275.403410195504,"1763-08-15"
"165",275.366519769061,275.366618816868,"1763-09-15"
"166",276.40618090844,276.406314760581,"1763-10-15"
"167",277.41330518929,277.413453201214,"1763-11-15"
"168",278.052899751538,278.053062532891,"1763-12-15"
"169",278.515465640893,278.515644547514,"1764-01-15"
"170",278.900488884079,278.900667319237,"1764-02-15"
"171",279.244363774641,279.244518576617,"1764-03-15"
"172",279.486910482773,279.487045472259,"1764-04-15"
"173",279.433210490439,279.433304206933,"1764-05-15"
"174",278.703515988915,278.703570662738,"1764-06-15"
"175",277.06679655291,277.06679222024,"1764-07-15"
"176",275.467115345304,275.467052847812,"1764-08-15"
"177",275.430094377008,275.429960791242,"1764-09-15"
"178",276.469379661319,276.469187874082,"1764-10-15"
"179",277.475963360852,277.475703837821,"1764-11-15"
"180",278.114867957073,278.114551643507,"1764-12-15"
"181",278.576615151096,278.576247649963,"1765-01-15"
"182",278.960694142489,278.960274498264,"1765-02-15"
"183",279.303516753029,279.303034483887,"1765-03-15"
"184",279.544921816083,279.544389326361,"1765-04-15"
"185",279.490001542841,279.489409793375,"1765-05-15"
"186",278.759026288154,278.758386333951,"1765-06-15"
"187",277.120976824993,277.120280895505,"1765-07-15"
"188",275.519934042593,275.519192002512,"1765-08-15"
"189",275.481533427191,275.480745014609,"1765-09-15"
"190",276.519445773948,276.518639451799,"1765-10-15"
"191",277.524694254379,277.523875196507,"1765-11-15"
"192",278.162330503137,278.161525350712,"1765-12-15"
"193",278.622911855857,278.622136414174,"1766-01-15"
"194",279.005948690735,279.005221168901,"1766-02-15"
"195",279.347886197711,279.347212051308,"1766-03-15"
